"ï»¿date","data"
"01-05-2025",200.85
"01-04-2025",212.5
"01-03-2025",222.13
"01-02-2025",241.84
"01-01-2025",236
"01-12-2024",250.42
"01-11-2024",237.33
"01-10-2024",225.91
"01-09-2024",233
"01-08-2024",229
"01-07-2024",222.08
"01-06-2024",210.62
"01-05-2024",192.25
"01-04-2024",170.33
"01-03-2024",171.48
"01-02-2024",180.75
"01-01-2024",184.4
"01-12-2023",192.53
"01-11-2023",189.95
"01-10-2023",170.77
"01-09-2023",171.21
"01-08-2023",187.87
"01-07-2023",196.45
"01-06-2023",193.97
"01-05-2023",177.25
"01-04-2023",169.68
"01-03-2023",164.9
"01-02-2023",147.41
"01-01-2023",144.29
"01-12-2022",129.93
"01-11-2022",148.03
"01-10-2022",153.34
"01-09-2022",138.2
"01-08-2022",157.22
"01-07-2022",162.51
"01-06-2022",136.72
"01-05-20222,148.84
"01-04-2022",157.65
"01-03-2022",174.61
"01-02-2022",165.12
"01-01-2022",174.78
"01-12-2021",177.57
"01-11-2021",165.3
"01-10-2021",149.8
"01-09-2021",141.5
"01-08-2021",151.83
"01-07-2021",145.86
"01-06-2021",136.96
"01-05-2021",124.61
"01-04-2021",131.46
"01-03-2021",122.15
"01-02-2021",121.26
"01-01-2021",131.96
"01-12-2020",132.69
"01-11-2020",119.05
"01-10-2020",108.86
"01-09-2020",115.81
"01-08-2020",129.04
"01-07-2020",106.26
"01-06-2020",91.2
